dataSource,value_O_wells,units_wells,value_O_heads,units_heads,value_O_drains,units_drains,Zone_1,Zone_2,Zone_3,Zone_4,Zone_5,Zone_6,Zone_7,Zone_8,Zone_9,Zone_10,Zone_11
02f255dadcd180b96531049412e0b005.csv,3190000000,ft3 (total for entire model),781.9461,feet (monthly average),18.151735,cfs,2,1.9,2,1.9,0.5,1.9,1.9,0.6,2,2,2
02fb179cfb0e88cc220c697a89ce21c4.csv,3040000000,ft3 (total for entire model),782.35486,feet (monthly average),18.42923,cfs,1.9,1.5,2,2,2,1.8,1.9,0.5,1.9,2,2
02fe973177c011e4b56bfe6bebcabd6f.csv,3130000000,ft3 (total for entire model),781.9565,feet (monthly average),18.253153,cfs,1.9,1.5,1.9,2,2,2,1.9,0.7,1.9,2,1.8
02ff5ad27e96b3ae1f6df1236588d8ad.csv,3250000000,ft3 (total for entire model),781.7684,feet (monthly average),18.027323,cfs,2,1.9,2,2,1.3,1.9,1.9,0.8,2,2,1.8
030707c5ef46b4677104074408cbd7bd.csv,3120000000,ft3 (total for entire model),781.9824,feet (monthly average),18.292679,cfs,2,1.5,1.9,2,2,2,0.6,0.6,1.9,1.9,2
030ecc1448d6aaaae66901f84363ca5b.csv,3080000000,ft3 (total for entire model),782.6028,feet (monthly average),18.30276,cfs,2,1.9,1.9,1.9,1.9,2,1.9,0.5,0.9,2,2
031a9353d0e6e6ec891c2eb70376ffd5.csv,3160000000,ft3 (total for entire model),781.913,feet (monthly average),18.287537,cfs,1.9,1.5,1.1,2,2,1.8,1.9,0.6,2,2,2
032524109ef3717145e0432fe3aeb997.csv,2990000000,ft3 (total for entire model),782.66473,feet (monthly average),18.445864,cfs,1.9,1.5,1.9,2,1.9,1.9,2,0.6,1.9,1.9,1.8
0328fbf27795a3bbf25d57ef8d09205e.csv,3280000000,ft3 (total for entire model),781.9587,feet (monthly average),18.07964,cfs,2,1.9,0.9,2,2,1.5,1.9,0.8,2,2,1.9
032e836267a2b95d5a730d051f4452fe.csv,2440000000,ft3 (total for entire model),785.5344,feet (monthly average),19.048326,cfs,1.9,1.5,2,2,1.9,2,2,0.6,2,1.9,1.2
